states,year,quarter,brand,user_counts,percentage
Andaman & Nicobar Islands,2018,1,Xiaomi,1665,0.247033
Andaman & Nicobar Islands,2018,1,Samsung,1445,0.214392
Andaman & Nicobar Islands,2018,1,Vivo,982,0.145697
Andaman & Nicobar Islands,2018,1,Oppo,501,0.074332
Andaman & Nicobar Islands,2018,1,OnePlus,332,0.049258
Andaman & Nicobar Islands,2018,1,Realme,316,0.046884
Andaman & Nicobar Islands,2018,1,Apple,229,0.033976
Andaman & Nicobar Islands,2018,1,Motorola,226,0.033531
Andaman & Nicobar Islands,2018,1,Lenovo,202,0.02997
Andaman & Nicobar Islands,2018,1,Huawei,158,0.023442
Andaman & Nicobar Islands,2018,1,Others,684,0.101484
Andaman & Nicobar Islands,2018,2,Xiaomi,2303,0.24487
Andaman & Nicobar Islands,2018,2,Samsung,1923,0.204466
Andaman & Nicobar Islands,2018,2,Vivo,1523,0.161935
Andaman & Nicobar Islands,2018,2,Oppo,708,0.075279
Andaman & Nicobar Islands,2018,2,OnePlus,466,0.049548
Andaman & Nicobar Islands,2018,2,Realme,465,0.049442
Andaman & Nicobar Islands,2018,2,Motorola,319,0.033918
Andaman & Nicobar Islands,2018,2,Apple,308,0.032749
Andaman & Nicobar Islands,2018,2,Lenovo,244,0.025944
Andaman & Nicobar Islands,2018,2,Huawei,230,0.024455
Andaman & Nicobar Islands,2018,2,Others,916,0.097395
Andaman & Nicobar Islands,2018,3,Xiaomi,2950,0.242818
Andaman & Nicobar Islands,2018,3,Samsung,2409,0.198288
Andaman & Nicobar Islands,2018,3,Vivo,2063,0.169808
Andaman & Nicobar Islands,2018,3,Oppo,988,0.081324
Andaman & Nicobar Islands,2018,3,OnePlus,617,0.050786
Andaman & Nicobar Islands,2018,3,Realme,603,0.049634
Andaman & Nicobar Islands,2018,3,Motorola,390,0.032101
Andaman & Nicobar Islands,2018,3,Apple,371,0.030537
Andaman & Nicobar Islands,2018,3,Huawei,314,0.025846
Andaman & Nicobar Islands,2018,3,Lenovo,299,0.024611
Andaman & Nicobar Islands,2018,3,Others,1145,0.094246
Andaman & Nicobar Islands,2018,4,Xiaomi,3719,0.244317
Andaman & Nicobar Islands,2018,4,Samsung,2936,0.192879
Andaman & Nicobar Islands,2018,4,Vivo,2742,0.180134
Andaman & Nicobar Islands,2018,4,Oppo,1268,0.0833
Andaman & Nicobar Islands,2018,4,Realme,760,0.049928
Andaman & Nicobar Islands,2018,4,OnePlus,721,0.047366
Andaman & Nicobar Islands,2018,4,Motorola,474,0.031139
Andaman & Nicobar Islands,2018,4,Apple,455,0.029891
Andaman & Nicobar Islands,2018,4,Huawei,398,0.026146
Andaman & Nicobar Islands,2018,4,Lenovo,377,0.024767
Andaman & Nicobar Islands,2018,4,Others,1372,0.090133
Andaman & Nicobar Islands,2019,1,Xiaomi,4576,0.246074
Andaman & Nicobar Islands,2019,1,Samsung,3567,0.191815
Andaman & Nicobar Islands,2019,1,Vivo,3420,0.183911
Andaman & Nicobar Islands,2019,1,Oppo,1600,0.08604
Andaman & Nicobar Islands,2019,1,Realme,897,0.048236
Andaman & Nicobar Islands,2019,1,OnePlus,855,0.045978
Andaman & Nicobar Islands,2019,1,Motorola,561,0.030168
Andaman & Nicobar Islands,2019,1,Apple,515,0.027694
Andaman & Nicobar Islands,2019,1,Huawei,515,0.027694
Andaman & Nicobar Islands,2019,1,Lenovo,426,0.022908
Andaman & Nicobar Islands,2019,1,Others,1664,0.089482
Andaman & Nicobar Islands,2019,2,Xiaomi,5296,0.243707
Andaman & Nicobar Islands,2019,2,Samsung,4165,0.191662
Andaman & Nicobar Islands,2019,2,Vivo,4102,0.188763
Andaman & Nicobar Islands,2019,2,Oppo,1905,0.087663
Andaman & Nicobar Islands,2019,2,Realme,1012,0.046569
Andaman & Nicobar Islands,2019,2,OnePlus,950,0.043716
Andaman & Nicobar Islands,2019,2,Huawei,644,0.029635
Andaman & Nicobar Islands,2019,2,Motorola,630,0.028991
Andaman & Nicobar Islands,2019,2,Apple,569,0.026184
Andaman & Nicobar Islands,2019,2,Lenovo,477,0.02195
Andaman & Nicobar Islands,2019,2,Others,1981,0.09116
Andaman & Nicobar Islands,2019,3,Xiaomi,5819,0.243157
Andaman & Nicobar Islands,2019,3,Vivo,4685,0.195771
Andaman & Nicobar Islands,2019,3,Samsung,4508,0.188375
Andaman & Nicobar Islands,2019,3,Oppo,2108,0.088087
Andaman & Nicobar Islands,2019,3,Realme,1158,0.048389
Andaman & Nicobar Islands,2019,3,OnePlus,1045,0.043667
Andaman & Nicobar Islands,2019,3,Huawei,725,0.030295
Andaman & Nicobar Islands,2019,3,Motorola,660,0.027579
Andaman & Nicobar Islands,2019,3,Apple,630,0.026326
Andaman & Nicobar Islands,2019,3,Lenovo,483,0.020183
Andaman & Nicobar Islands,2019,3,Others,2110,0.08817
Andaman & Nicobar Islands,2019,4,Xiaomi,6259,0.241102
Andaman & Nicobar Islands,2019,4,Vivo,5190,0.199923
Andaman & Nicobar Islands,2019,4,Samsung,4900,0.188752
Andaman & Nicobar Islands,2019,4,Oppo,2329,0.089715
Andaman & Nicobar Islands,2019,4,Realme,1329,0.051194
Andaman & Nicobar Islands,2019,4,OnePlus,1124,0.043297
Andaman & Nicobar Islands,2019,4,Huawei,798,0.03074
Andaman & Nicobar Islands,2019,4,Motorola,682,0.026271
Andaman & Nicobar Islands,2019,4,Apple,678,0.026117
