states,year,quarter,district,trans_counts,amount
Andaman & Nicobar Islands,2018,1,South Andaman,5688,12560249.34
Andaman & Nicobar Islands,2018,1,Nicobars,528,1139848.8
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,442,931663.08
Andaman & Nicobar Islands,2018,2,South Andaman,9395,23948235.52
Andaman & Nicobar Islands,2018,2,Nicobars,1120,3072436.91
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,825,1317863.08
Andaman & Nicobar Islands,2018,3,South Andaman,13511,44268112.46
Andaman & Nicobar Islands,2018,3,Nicobars,1471,6387829.15
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,1283,4901529.52
Andaman & Nicobar Islands,2018,4,South Andaman,20136,75411840.8
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,2137,7955635.92
Andaman & Nicobar Islands,2018,4,Nicobars,1485,7180859.35
Andaman & Nicobar Islands,2019,1,South Andaman,25683,85501972.39
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,3264,9561708.74
Andaman & Nicobar Islands,2019,1,Nicobars,1539,7236059.55
Andaman & Nicobar Islands,2019,2,South Andaman,28490,102530955.71
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,3371,8612103.14
Andaman & Nicobar Islands,2019,2,Nicobars,1828,9111650.82
Andaman & Nicobar Islands,2019,3,South Andaman,27421,91023888.33
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,4049,11481466.28
Andaman & Nicobar Islands,2019,3,Nicobars,2300,11566421.48
Andaman & Nicobar Islands,2019,4,South Andaman,27843,110930312.21
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,4716,13524056.78
Andaman & Nicobar Islands,2019,4,Nicobars,2600,12384161.53
Andaman & Nicobar Islands,2020,1,South Andaman,32713,134679396.91
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,5674,14697371.62
Andaman & Nicobar Islands,2020,1,Nicobars,2911,12099543.77
Andaman & Nicobar Islands,2020,2,South Andaman,48088,132855778.75
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,10979,22447714.06
Andaman & Nicobar Islands,2020,2,Nicobars,3895,14341508.6
Andaman & Nicobar Islands,2020,3,South Andaman,95323,282366109.21
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,16747,33486883.37
Andaman & Nicobar Islands,2020,3,Nicobars,5413,22166453.75
Andaman & Nicobar Islands,2020,4,South Andaman,186494,523122462.88
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,29349,68941322.39
Andaman & Nicobar Islands,2020,4,Nicobars,8688,35218871.04
Andaman & Nicobar Islands,2021,1,South Andaman,207092,669604045.12
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,27358,75027255.28
Andaman & Nicobar Islands,2021,1,Nicobars,10302,39075266.99
Andaman & Nicobar Islands,2021,2,South Andaman,286907,760893020.57
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,39200,90233388.79
Andaman & Nicobar Islands,2021,2,Nicobars,15307,48020606.75
Andaman & Nicobar Islands,2021,3,South Andaman,382418,1116789010.65
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,46592,118254865.83
Andaman & Nicobar Islands,2021,3,Nicobars,20754,74980519.33
Andaman & Nicobar Islands,2021,4,South Andaman,558571,1694794708.01
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,53115,156486112.29
Andaman & Nicobar Islands,2021,4,Nicobars,24437,81329281.03
Andaman & Nicobar Islands,2022,1,South Andaman,705512,1872991195.9
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,60059,161624878.52
Andaman & Nicobar Islands,2022,1,Nicobars,29177,94414127.65
Andaman & Nicobar Islands,2022,2,South Andaman,954875,2357326563.36
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,72573,195693167.79
Andaman & Nicobar Islands,2022,2,Nicobars,43769,132900618.93
Andaman & Nicobar Islands,2022,3,South Andaman,1455255,2967719400.85
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,79574,211581970.34
Andaman & Nicobar Islands,2022,3,Nicobars,49550,131330400.95
Andaman & Nicobar Islands,2022,4,South Andaman,1835592,3600887266.1
Andaman & Nicobar Islands,2022,4,North And Middle Andaman,93297,241431284.36
Andaman & Nicobar Islands,2022,4,Nicobars,58646,142355853.97
Andhra Pradesh,2018,1,Visakhapatnam,1256469,1749966196.5
Andhra Pradesh,2018,1,East Godavari,943935,1235785515.6
Andhra Pradesh,2018,1,Krishna,863935,1284255179.62
Andhra Pradesh,2018,1,Chittoor,830324,1009621878.09
Andhra Pradesh,2018,1,Guntur,815932,1108686589.03
Andhra Pradesh,2018,1,Kurnool,679623,764905298.74
Andhra Pradesh,2018,1,Anantapur,638664,788830646.03
Andhra Pradesh,2018,1,West Godavari,577090,853547668.75
Andhra Pradesh,2018,1,Prakasam,534757,748990775.87
Andhra Pradesh,2018,1,Spsr Nellore,531612,676643237.81
Andhra Pradesh,2018,2,Visakhapatnam,1641192,2987853607.29
Andhra Pradesh,2018,2,Krishna,1224987,2448141593.49
Andhra Pradesh,2018,2,East Godavari,1221677,2168914928.42
Andhra Pradesh,2018,2,Chittoor,1185723,1990419125.89
Andhra Pradesh,2018,2,Guntur,1088101,2108475811.79
Andhra Pradesh,2018,2,Kurnool,968439,1531888665.68
Andhra Pradesh,2018,2,Anantapur,937023,1690366079.06
Andhra Pradesh,2018,2,West Godavari,786033,1688025212.3
Andhra Pradesh,2018,2,Spsr Nellore,780454,1542057934.01
Andhra Pradesh,2018,2,Prakasam,739991,1571167562.13
Andhra Pradesh,2018,3,Visakhapatnam,3394576,4821892253.39
Andhra Pradesh,2018,3,East Godavari,3226907,3551247095.31
Andhra Pradesh,2018,3,Kurnool,2921189,2908389261.54
Andhra Pradesh,2018,3,Krishna,2396934,3754202654.38
Andhra Pradesh,2018,3,Chittoor,2297429,3283517630.72
Andhra Pradesh,2018,3,Guntur,1912529,3127764663.18
Andhra Pradesh,2018,3,Anantapur,1815215,2681787750.46
Andhra Pradesh,2018,3,Ysr,1557444,2235904512.25
Andhra Pradesh,2018,3,West Godavari,1431282,2309078492.81
Andhra Pradesh,2018,3,Prakasam,1319651,2346453445.48
Andhra Pradesh,2018,4,Visakhapatnam,4791421,7366635864.85
Andhra Pradesh,2018,4,Chittoor,3166201,4979093890.22
Andhra Pradesh,2018,4,East Godavari,3052762,4652624623.44
Andhra Pradesh,2018,4,Krishna,2839161,5416251838.13
Andhra Pradesh,2018,4,Guntur,2546620,4730251217.7
Andhra Pradesh,2018,4,Kurnool,2508530,3626544852.41
